iter	Passed	Remaining
709	4377	1787
710	4379	1780
711	4384	1773
712	4386	1765
713	4389	1758
714	4393	1751
715	4396	1744
716	4399	1736
717	4402	1728
718	4404	1721
719	4408	1714
720	4411	1707
721	4414	1699
722	4417	1692
723	4419	1684
724	4421	1677
725	4424	1669
726	4425	1661
727	4429	1654
728	4431	1647
729	4435	1640
730	4441	1634
731	4444	1627
732	4448	1620
733	4453	1613
734	4456	1606
735	4460	1600
736	4463	1592
737	4468	1586
738	4471	1579
739	4473	1571
740	4476	1564
741	4478	1557
742	4479	1549
743	4482	1542
744	4484	1534
745	4487	1527
746	4489	1520
747	4491	1513
748	4493	1505
749	4495	1498
750	4498	1491
751	4501	1484
752	4504	1477
753	4506	1470
754	4508	1463
755	4510	1455
756	4512	1448
757	4514	1441
758	4517	1434
759	4519	1427
760	4521	1419
761	4523	1412
762	4525	1405
763	4526	1398
764	4528	1391
765	4531	1384
766	4533	1377
767	4534	1369
768	4536	1362
769	4538	1355
770	4541	1348
771	4543	1341
772	4544	1334
773	4546	1327
774	4548	1320
775	4550	1313
776	4552	1306
777	4554	1299
778	4556	1292
779	4558	1285
780	4560	1278
781	4562	1271
782	4564	1264
783	4566	1257
784	4568	1251
785	4569	1244
786	4571	1237
787	4573	1230
788	4576	1223
789	4579	1217
790	4584	1211
791	4586	1204
792	4590	1198
793	4595	1192
794	4599	1185
795	4603	1179
796	4605	1173
797	4607	1166
798	4610	1159
799	4612	1153
800	4614	1146
801	4615	1139
802	4617	1132
803	4619	1126
804	4621	1119
805	4623	1112
806	4625	1106
807	4627	1099
808	4629	1092
809	4630	1086
810	4632	1079
811	4634	1073
812	4636	1066
813	4638	1060
814	4640	1053
815	4642	1046
816	4644	1040
817	4646	1033
818	4647	1027
819	4649	1020
820	4651	1014
821	4656	1008
822	4661	1002
823	4665	996
824	4667	990
825	4671	984
826	4674	977
827	4677	971
828	4681	965
829	4685	959
830	4689	953
831	4692	947
832	4695	941
833	4697	935
834	4701	928
835	4705	923
836	4707	916
837	4710	910
838	4715	904
