,vc,rake_angle,AISI_1020,AISI_1045,AISI_1045-2,AISI_304,AISI_4130,AISI_4140,AISI_4340,AISI_52100
25,2000,11,47.22047843933106,132.1489486694338,494.33502807617197,415.51346435546895,327.04999389648435,1238.229833984376,760.6891357421875,217.52428894042959
26,2000,14,42.14009857177736,105.46909942626954,447.6856811523436,631.5421020507814,322.845935058594,1256.3361816406261,825.6886230468748,268.8677795410158
27,2500,-10,68.472163772583,66.48177032470707,328.69463768005375,795.2236816406252,369.3939025878906,1084.1641113281241,170.07860717773434,253.54216613769523
28,2500,-7,59.7374954223633,108.2919593811035,432.5428771972658,718.5456359863283,342.98658447265615,1045.5117187499995,587.5253417968752,216.12836456298837
29,2500,-4,37.08179397583008,155.0033065795898,552.8777038574219,706.4489379882814,324.562582397461,997.022021484375,659.2944946289065,177.08665733337403
30,2500,-1,57.52566299438479,148.47570037841788,492.534197998047,698.6390991210938,364.76195373535154,1193.221740722658,249.40135498046897,280.0442932128908
31,2500,2,52.47666435241698,123.04070663452167,395.7057373046876,691.0204223632812,313.6048034667968,1070.3442871093762,241.47191390991193,281.1141387939454
32,2500,5,35.866571044921855,130.87183227539066,468.1791076660158,654.8832153320316,278.4238937377931,1237.8705566406259,262.45984497070316,248.32356567382823
33,2500,8,45.57589836120604,142.9708419799806,356.616015625,654.3383911132814,337.12874450683603,1205.641333007814,590.8455627441406,224.040756225586
34,2500,11,45.513057708740256,123.80375976562507,504.7037597656252,401.8699140548707,333.4082397460937,1266.4396484375022,806.8473754882815,227.50940551757816
35,2500,14,49.60743255615234,131.40490875244151,454.96123657226565,453.900247192383,326.2607177734376,1214.4330810546878,730.9561157226565,245.27223510742178
36,3000,-10,77.28101043701172,136.42668762207035,298.0896484375,703.2291625976562,383.76726074218743,1182.24079589844,221.63464660644541,322.35007324218765
37,3000,-7,71.04334411621089,101.11921081542967,422.565728759766,647.026599121094,329.83786010742176,1159.46540527344,676.5848876953125,318.71455993652364
38,3000,-4,48.2253158569336,138.70428009033213,301.95632057189954,724.2729003906251,351.54645385742185,1213.977392578126,583.831396484375,241.72486572265643
39,3000,-1,37.86492309570312,189.2245330810548,385.3503845214842,685.8035522460935,273.47497787475595,960.585485839844,206.9554840087892,268.78635864257797
40,3000,2,34.04310169219969,167.4489944458008,441.99664916992197,681.6134033203127,167.3763755798339,1002.4436767578125,611.9911987304688,209.6717712402347
41,3000,5,43.73872795104978,142.22312622070302,450.2953857421876,641.5464721679688,331.4617309570314,1266.975439453128,543.1674743652344,194.36556701660157
42,3000,8,43.41170234680176,121.2166748046875,433.37138671875,443.31954956054705,311.8064575195312,1167.785180664066,525.0350097656252,223.9047149658204
43,3000,11,41.625002765655495,121.50897903442379,505.1052551269531,669.1747680664064,343.6813781738282,1230.1885498046881,788.2041259765628,239.65743713378896
44,3000,14,45.93641843795778,115.02255477905278,450.1729797363284,517.9879638671878,329.7608520507812,1189.017407226564,784.12021484375,264.36549987793
45,3500,-10,34.65301017761232,125.8671508789062,571.5328735351566,714.0725097656252,320.4430511474608,1142.5816162109381,516.4322265625002,339.52949829101533
46,3500,-7,62.76361389160154,141.44499359130867,290.12300720214836,748.909655761719,348.22697753906243,1221.01989746094,607.2072021484375,338.5334899902344
47,3500,-4,15.5488482758403,96.54696578979498,273.91467132568357,765.71064453125,309.0068511962892,1148.1432861328121,593.9224975585937,236.0789642333986
48,3500,-1,49.148924827575684,158.29311523437502,385.9532348632812,699.0108520507814,138.06982955932622,1063.1314697265632,270.4261505126956,261.1120666503906
49,3500,2,30.17887763977052,112.27754974365243,504.3291625976564,684.2143432617189,256.557147216797,988.0985961914072,623.6121582031252,260.3879119873048
50,3500,5,51.528652191162124,127.13273544311535,455.30586547851544,657.9032104492188,345.9619812011721,1085.214697265626,573.9036254882815,224.39732971191398
51,3500,8,40.81508979797362,111.17932281494146,452.02379760742195,669.2898681640628,329.076416015625,1246.721313476562,791.2330688476563,244.7317199707032
52,3500,11,39.60267906188964,122.67851409912107,480.9763793945314,673.9905273437502,334.38409423828136,1221.485888671874,753.5756225585939,217.04158935546857
53,3500,14,52.40685691833496,134.02071304321285,444.31099853515644,646.331237792969,329.30441284179676,1229.013647460938,725.1796997070314,184.9615325927736
54,4000,-10,53.19918975830069,148.48147888183604,348.7706604003904,501.9366027832032,303.07451362609856,1140.6854125976556,297.0109771728516,282.6632781982424
55,4000,-7,38.57435302734376,132.02098922729493,450.7059020996094,703.8735595703126,330.101953125,1072.0638061523437,582.0892333984376,282.091650390625
56,4000,-4,43.02986221313478,105.1102130889893,373.5622619628906,637.5932617187502,244.8771362304688,1124.33591308594,466.9314498901367,303.7356231689452
57,4000,-1,30.294051742553716,71.65994377136224,386.8516479492188,667.2830444335939,364.1576477050782,1367.22578125,486.065478515625,276.76762390136736
58,4000,2,48.95753383636473,141.72423706054704,476.68224487304707,628.7453002929688,327.08861389160165,1181.669702148438,606.429675292969,227.6223724365234
