	material	depth	vc	rake_angle	clearance_angle	expected_cut_force	A	B	C	n	m	d1	d2	d3	d4	d5	densidade	young_modulus	poisson_coef
50	AISI_1045	0.25	3500	8	5	205.86772766113282	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
51	AISI_1045	0.25	3500	11	5	201.11768493652363	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
52	AISI_1045	0.25	3500	14	5	199.41338500976582	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
53	AISI_1045	0.25	4000	-10	5	257.08352966308604	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
54	AISI_1045	0.25	4000	-7	5	256.6970245361328	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
55	AISI_1045	0.25	4000	-4	5	232.7394104003904	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
56	AISI_1045	0.25	4000	-1	5	202.67862854003903	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
57	AISI_1045	0.25	4000	2	5	221.59642028808622	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
58	AISI_1045	0.25	4000	5	5	209.1836791992188	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
59	AISI_1045	0.25	4000	8	5	197.24166259765622	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
60	AISI_1045	0.25	4000	11	5	200.07742309570318	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
61	AISI_1045	0.25	4000	14	5	196.7248016357424	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
62	AISI_1045	0.25	4500	-10	5	263.6263275146484	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
63	AISI_1045	0.25	4500	-7	5	230.8000396728518	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
64	AISI_1045	0.25	4500	-4	5	206.46874084472682	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
65	AISI_1045	0.25	4500	-1	5	204.51592102050782	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
66	AISI_1045	0.25	4500	2	5	221.3249725341796	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
67	AISI_1045	0.25	4500	5	5	208.72140502929702	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
68	AISI_1045	0.25	4500	8	5	204.55251770019538	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
69	AISI_1045	0.25	4500	11	5	200.482913208008	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
70	AISI_1045	0.25	4500	14	5	209.85785522460918	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
143	AISI_4140	0.25	1000	-10	5	1052.623437500002	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
144	AISI_4140	0.25	1000	-7	5	1173.71520996094	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
145	AISI_4140	0.25	1000	-4	5	1147.44189453125	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
146	AISI_4140	0.25	1000	-1	5	998.428430175782	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
147	AISI_4140	0.25	1000	2	5	1091.2811279296861	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
148	AISI_4140	0.25	1000	5	5	1287.769653320316	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
149	AISI_4140	0.25	1000	8	5	1271.7465576171878	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
150	AISI_4140	0.25	1000	11	5	1263.8063964843782	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
151	AISI_4140	0.25	1000	14	5	971.9648559570305	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
152	AISI_4140	0.25	1500	-10	5	1166.0707031250022	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
153	AISI_4140	0.25	1500	-7	5	1035.2206787109396	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
154	AISI_4140	0.25	1500	-4	5	1090.39013671875	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
155	AISI_4140	0.25	1500	-1	5	1103.1345458984401	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
156	AISI_4140	0.25	1500	2	5	1015.4655517578133	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
157	AISI_4140	0.25	1500	5	5	1242.73864746094	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
158	AISI_4140	0.25	1500	8	5	1274.745947265626	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
159	AISI_4140	0.25	1500	11	5	1256.917041015628	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
160	AISI_4140	0.25	1500	14	5	1282.9279785156261	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
161	AISI_4140	0.25	2000	-10	5	1101.541870117188	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
162	AISI_4140	0.25	2000	-7	5	1084.666503906254	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
163	AISI_4140	0.25	2000	-4	5	1059.16754150391	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
164	AISI_4140	0.25	2000	-1	5	1083.4695800781278	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
165	AISI_4140	0.25	2000	2	5	994.3173583984375	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
166	AISI_4140	0.25	2000	5	5	1280.626928710938	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
167	AISI_4140	0.25	2000	8	5	1245.933447265626	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
168	AISI_4140	0.25	2000	11	5	1264.275854492188	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
169	AISI_4140	0.25	2000	14	5	1256.336181640626	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
170	AISI_4140	0.25	2500	-10	5	1092.5793457031239	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
171	AISI_4140	0.25	2500	-7	5	1084.4713623046878	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
172	AISI_4140	0.25	2500	-4	5	1054.429833984376	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
173	AISI_4140	0.25	2500	-1	5	1206.8979003906259	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
174	AISI_4140	0.25	2500	2	5	1087.522692871094	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
175	AISI_4140	0.25	2500	5	5	1275.391772460938	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
176	AISI_4140	0.25	2500	8	5	1237.002905273438	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
177	AISI_4140	0.25	2500	11	5	1275.510400390626	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
178	AISI_4140	0.25	2500	14	5	1225.4638916015642	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
179	AISI_4140	0.25	3000	-10	5	1182.24079589844	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
